"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"ExcitationEnergy";"SensitivityFactor";"Reference"
"Lu";"5d3/2";71;1487 eV;0.00034272000000000003 Mb;""
"Lu";"5d5/2";71;1487 eV;0.00046376000000000002 Mb;""
"Lu";"5d";71;1487 eV;0.00080648000000000004 Mb;""
"Lu";"6s";71;1487 eV;0.00038759999999999999 Mb;""
"Hf";"4s";72;1487 eV;0.023935999999999999 Mb;""
"Hf";"4p1/2";72;1487 eV;0.028015999999999999 Mb;""
"Hf";"4p3/2";72;1487 eV;0.066367999999999996 Mb;""
"Hf";"4p";72;1487 eV;0.094383999999999996 Mb;""
"Hf";"4d3/2";72;1487 eV;0.083367999999999998 Mb;""
"Hf";"4d5/2";72;1487 eV;0.120224 Mb;""
"Hf";"4d";72;1487 eV;0.203592 Mb;""
"Hf";"4f5/2";72;1487 eV;0.045151999999999998 Mb;""
"Hf";"4f7/2";72;1487 eV;0.057119999999999997 Mb;""
"Hf";"4f";72;1487 eV;0.102272 Mb;""
"Hf";"5s";72;1487 eV;0.0046784000000000001 Mb;""
"Hf";"5p1/2";72;1487 eV;0.0044200000000000003 Mb;""
"Hf";"5p3/2";72;1487 eV;0.0095063999999999999 Mb;""
"Hf";"5p";72;1487 eV;0.0139264 Mb;""
"Hf";"5d3/2";72;1487 eV;0.00087584000000000002 Mb;""
"Hf";"5d5/2";72;1487 eV;0.0011995199999999999 Mb;""
"Hf";"5d";72;1487 eV;0.0020753600000000001 Mb;""
"Hf";"6s";72;1487 eV;0.00043792000000000001 Mb;""
"Ta";"4s";73;1487 eV;0.024344000000000001 Mb;""
"Ta";"4p1/2";73;1487 eV;0.028288000000000001 Mb;""
"Ta";"4p3/2";73;1487 eV;0.068271999999999999 Mb;""
"Ta";"4p";73;1487 eV;0.096560000000000007 Mb;""
"Ta";"4d3/2";73;1487 eV;0.087040000000000006 Mb;""
"Ta";"4d5/2";73;1487 eV;0.125664 Mb;""
"Ta";"4d";73;1487 eV;0.212704 Mb;""
"Ta";"4f5/2";73;1487 eV;0.051679999999999997 Mb;""
"Ta";"4f7/2";73;1487 eV;0.065551999999999999 Mb;""
"Ta";"4f";73;1487 eV;0.117232 Mb;""
"Ta";"5s";73;1487 eV;0.0049367999999999999 Mb;""
"Ta";"5p1/2";73;1487 eV;0.0047055999999999999 Mb;""
"Ta";"5p3/2";73;1487 eV;0.0102544 Mb;""
"Ta";"5p";73;1487 eV;0.014959999999999999 Mb;""
"Ta";"5d3/2";73;1487 eV;0.00158848 Mb;""
"Ta";"5d5/2";73;1487 eV;0.0021895999999999999 Mb;""
"Ta";"5d";73;1487 eV;0.0037780800000000001 Mb;""
"Ta";"6s";73;1487 eV;0.00048144000000000003 Mb;""
"W";"4s";74;1487 eV;0.024615999999999999 Mb;""
"W";"4p1/2";74;1487 eV;0.028559999999999999 Mb;""
"W";"4p3/2";74;1487 eV;0.070176000000000002 Mb;""
"W";"4p";74;1487 eV;0.098736000000000004 Mb;""
"W";"4d3/2";74;1487 eV;0.090847999999999998 Mb;""
"W";"4d5/2";74;1487 eV;0.13124 Mb;""
"W";"4d";74;1487 eV;0.22208800000000001 Mb;""
"W";"4f5/2";74;1487 eV;0.058751999999999999 Mb;""
"W";"4f7/2";74;1487 eV;0.074527999999999997 Mb;""
"W";"4f";74;1487 eV;0.13328000000000001 Mb;""
"W";"5s";74;1487 eV;0.0052088000000000004 Mb;""
"W";"5p1/2";74;1487 eV;0.0049912000000000003 Mb;""
"W";"5p3/2";74;1487 eV;0.011029600000000001 Mb;""
"W";"5p";74;1487 eV;0.016020800000000002 Mb;""
"W";"5d3/2";74;1487 eV;0.0024806400000000001 Mb;""
"W";"5d5/2";74;1487 eV;0.0034272 Mb;""
"W";"5d";74;1487 eV;0.0059078400000000001 Mb;""
"W";"6s";74;1487 eV;0.00052088000000000004 Mb;""
"Re";"4s";75;1487 eV;0.025024000000000001 Mb;""
"Re";"4p1/2";75;1487 eV;0.028832 Mb;""
"Re";"4p3/2";75;1487 eV;0.072080000000000005 Mb;""
"Re";"4p";75;1487 eV;0.100912 Mb;""
"Re";"4d3/2";75;1487 eV;0.094520000000000007 Mb;""
"Re";"4d5/2";75;1487 eV;0.13681599999999999 Mb;""
"Re";"4d";75;1487 eV;0.23133600000000001 Mb;""
"Re";"4f5/2";75;1487 eV;0.066367999999999996 Mb;""
"Re";"4f7/2";75;1487 eV;0.084320000000000006 Mb;""
"Re";"4f";75;1487 eV;0.15068799999999999 Mb;""
"Re";"5s";75;1487 eV;0.0054672000000000002 Mb;""
"Re";"5p1/2";75;1487 eV;0.0052632 Mb;""
"Re";"5p3/2";75;1487 eV;0.0118184 Mb;""
"Re";"5p";75;1487 eV;0.017081599999999999 Mb;""
"Re";"5d3/2";75;1487 eV;0.0035496 Mb;""
"Re";"5d5/2";75;1487 eV;0.0049367999999999999 Mb;""
"Re";"5d";75;1487 eV;0.0084863999999999998 Mb;""
"Re";"6s";75;1487 eV;0.00055488 Mb;""
"Os";"4s";76;1487 eV;0.025295999999999999 Mb;""
"Os";"4p1/2";76;1487 eV;0.028968000000000001 Mb;""
"Os";"4p3/2";76;1487 eV;0.074120000000000005 Mb;""
"Os";"4p";76;1487 eV;0.103088 Mb;""
"Os";"4d3/2";76;1487 eV;0.098327999999999999 Mb;""
"Os";"4d5/2";76;1487 eV;0.14252799999999999 Mb;""
"Os";"4d";76;1487 eV;0.24085599999999999 Mb;""
"Os";"4f5/2";76;1487 eV;0.074527999999999997 Mb;""
"Os";"4f7/2";76;1487 eV;0.094656000000000004 Mb;""
"Os";"4f";76;1487 eV;0.169184 Mb;""
"Os";"5s";76;1487 eV;0.0057391999999999999 Mb;""
"Os";"5p1/2";76;1487 eV;0.0055488000000000004 Mb;""
"Os";"5p3/2";76;1487 eV;0.0126208 Mb;""
"Os";"5p";76;1487 eV;0.018169600000000001 Mb;""
"Os";"5d3/2";76;1487 eV;0.0048143999999999999 Mb;""
"Os";"5d5/2";76;1487 eV;0.0067048000000000003 Mb;""
"Os";"5d";76;1487 eV;0.0115192 Mb;""
"Os";"6s";76;1487 eV;0.00058615999999999996 Mb;""
"Ir";"4s";77;1487 eV;0.025568 Mb;""
"Ir";"4p1/2";77;1487 eV;0.029104000000000001 Mb;""
"Ir";"4p3/2";77;1487 eV;0.076023999999999994 Mb;""
"Ir";"4p";77;1487 eV;0.105128 Mb;""
"Ir";"4d3/2";77;1487 eV;0.102136 Mb;""
"Ir";"4d5/2";77;1487 eV;0.14824000000000001 Mb;""
"Ir";"4d";77;1487 eV;0.25037599999999999 Mb;""
"Ir";"4f5/2";77;1487 eV;0.083232 Mb;""
"Ir";"4f7/2";77;1487 eV;0.105808 Mb;""
"Ir";"4f";77;1487 eV;0.18904000000000001 Mb;""
"Ir";"5s";77;1487 eV;0.0059567999999999999 Mb;""
"Ir";"5p1/2";77;1487 eV;0.0057391999999999999 Mb;""
"Ir";"5p3/2";77;1487 eV;0.0131512 Mb;""
"Ir";"5p";77;1487 eV;0.018890400000000002 Mb;""
"Ir";"5d3/2";77;1487 eV;0.0071263999999999997 Mb;""
"Ir";"5d5/2";77;1487 eV;0.0097103999999999992 Mb;""
"Ir";"5d";77;1487 eV;0.016836799999999999 Mb;""
"Pt";"4s";78;1487 eV;0.025839999999999998 Mb;""
"Pt";"4p1/2";78;1487 eV;0.029104000000000001 Mb;""
"Pt";"4p3/2";78;1487 eV;0.078063999999999995 Mb;""
"Pt";"4p";78;1487 eV;0.107168 Mb;""
"Pt";"4d3/2";78;1487 eV;0.105808 Mb;""
"Pt";"4d5/2";78;1487 eV;0.15395200000000001 Mb;""
"Pt";"4d";78;1487 eV;0.25975999999999999 Mb;""
"Pt";"4f5/2";78;1487 eV;0.092616000000000004 Mb;""
"Pt";"4f7/2";78;1487 eV;0.11763999999999999 Mb;""
"Pt";"4f";78;1487 eV;0.210256 Mb;""
"Pt";"5s";78;1487 eV;0.0062424000000000004 Mb;""
"Pt";"5p1/2";78;1487 eV;0.0060384000000000002 Mb;""
"Pt";"5p3/2";78;1487 eV;0.014144 Mb;""
"Pt";"5p";78;1487 eV;0.0201824 Mb;""
"Pt";"5d3/2";78;1487 eV;0.0084320000000000003 Mb;""
"Pt";"5d5/2";78;1487 eV;0.011655199999999999 Mb;""
"Pt";"5d";78;1487 eV;0.0200872 Mb;""
"Pt";"6s";78;1487 eV;0.00028152 Mb;""
"Au";"4s";79;1487 eV;0.026112 Mb;""
"Au";"4p1/2";79;1487 eV;0.029104000000000001 Mb;""
"Au";"4p3/2";79;1487 eV;0.080103999999999995 Mb;""
"Au";"4p";79;1487 eV;0.109208 Mb;""
"Au";"4d3/2";79;1487 eV;0.10961600000000001 Mb;""
"Au";"4d5/2";79;1487 eV;0.159664 Mb;""
"Au";"4d";79;1487 eV;0.26928000000000002 Mb;""
"Au";"4f5/2";79;1487 eV;0.102544 Mb;""
"Au";"4f7/2";79;1487 eV;0.13028799999999999 Mb;""
"Au";"4f";79;1487 eV;0.23283200000000001 Mb;""
"Au";"5s";79;1487 eV;0.0065144000000000001 Mb;""
"Au";"5p1/2";79;1487 eV;0.0062968 Mb;""
"Au";"5p3/2";79;1487 eV;0.014959999999999999 Mb;""
"Au";"5p";79;1487 eV;0.021256799999999999 Mb;""
"Au";"5d3/2";79;1487 eV;0.0103088 Mb;""
"Au";"5d5/2";79;1487 eV;0.014279999999999999 Mb;""
"Au";"5d";79;1487 eV;0.024588800000000001 Mb;""
"Au";"6s";79;1487 eV;0.00029104000000000001 Mb;""
"Hg";"4s";80;1487 eV;0.026384000000000001 Mb;""
"Hg";"4p1/2";80;1487 eV;0.029104000000000001 Mb;""
"Hg";"4p3/2";80;1487 eV;0.082143999999999995 Mb;""
"Hg";"4p";80;1487 eV;0.111248 Mb;""
"Hg";"4d3/2";80;1487 eV;0.113288 Mb;""
"Hg";"4d5/2";80;1487 eV;0.16551199999999999 Mb;""
"Hg";"4d";80;1487 eV;0.27879999999999999 Mb;""
"Hg";"4f5/2";80;1487 eV;0.113152 Mb;""
"Hg";"4f7/2";80;1487 eV;0.14375199999999999 Mb;""
"Hg";"4f";80;1487 eV;0.25690400000000002 Mb;""
"Hg";"5s";80;1487 eV;0.0067999999999999996 Mb;""
"Hg";"5p1/2";80;1487 eV;0.0065824000000000004 Mb;""
"Hg";"5p3/2";80;1487 eV;0.015911999999999999 Mb;""
"Hg";"5p";80;1487 eV;0.022494400000000001 Mb;""
"Hg";"5d3/2";80;1487 eV;0.0118184 Mb;""
"Hg";"5d5/2";80;1487 eV;0.016455999999999998 Mb;""
"Hg";"5d";80;1487 eV;0.028274400000000002 Mb;""
"Hg";"6s";80;1487 eV;0.00069088000000000005 Mb;""
"Tl";"4s";81;1487 eV;0.026519999999999998 Mb;""
"Tl";"4p1/2";81;1487 eV;0.028968000000000001 Mb;""
"Tl";"4p3/2";81;1487 eV;0.084183999999999995 Mb;""
"Tl";"4p";81;1487 eV;0.113152 Mb;""
"Tl";"4d3/2";81;1487 eV;0.11695999999999999 Mb;""
"Tl";"4d5/2";81;1487 eV;0.17136000000000001 Mb;""
"Tl";"4d";81;1487 eV;0.28832000000000002 Mb;""
"Tl";"4f5/2";81;1487 eV;0.124304 Mb;""
"Tl";"4f7/2";81;1487 eV;0.15803200000000001 Mb;""
"Tl";"4f";81;1487 eV;0.28233599999999998 Mb;""
"Tl";"5s";81;1487 eV;0.0070720000000000002 Mb;""
"Tl";"5p1/2";81;1487 eV;0.006868 Mb;""
"Tl";"5p3/2";81;1487 eV;0.017000000000000001 Mb;""
"Tl";"5p";81;1487 eV;0.023868 Mb;""
"Tl";"5d3/2";81;1487 eV;0.013477599999999999 Mb;""
"Tl";"5d5/2";81;1487 eV;0.018904000000000001 Mb;""
"Tl";"5d";81;1487 eV;0.032381600000000003 Mb;""
"Tl";"6s";81;1487 eV;0.00086631999999999996 Mb;""
"Tl";"6pl/2";81;1487 eV;7.3440000000000002e-005 Mb;""
"Tl";"6p3/2";81;1487 eV;0.00013328 Mb;""
"Tl";"6p";81;1487 eV;0.00020672 Mb;""
"Pb";"4s";82;1487 eV;0.026655999999999999 Mb;""
"Pb";"4p1/2";82;1487 eV;0.028832 Mb;""
"Pb";"4p3/2";82;1487 eV;0.086087999999999998 Mb;""
"Pb";"4p";82;1487 eV;0.11491999999999999 Mb;""
"Pb";"4d3/2";82;1487 eV;0.120632 Mb;""
"Pb";"4d5/2";82;1487 eV;0.17707200000000001 Mb;""
"Pb";"4d";82;1487 eV;0.29770400000000002 Mb;""
"Pb";"4f5/2";82;1487 eV;0.13613600000000001 Mb;""
"Pb";"4f7/2";82;1487 eV;0.173128 Mb;""
"Pb";"4f";82;1487 eV;0.30926399999999998 Mb;""
"Pb";"5s";82;1487 eV;0.0073711999999999996 Mb;""
"Pb";"5p1/2";82;1487 eV;0.0071536000000000004 Mb;""
"Pb";"5p3/2";82;1487 eV;0.018088 Mb;""
"Pb";"5p";82;1487 eV;0.025241599999999999 Mb;""
"Pb";"5d3/2";82;1487 eV;0.015096 Mb;""
"Pb";"5d5/2";82;1487 eV;0.021488 Mb;""
"Pb";"5d";82;1487 eV;0.036583999999999998 Mb;""
"Pb";"6s";82;1487 eV;0.0010091200000000001 Mb;""
"Pb";"6pl/2";82;1487 eV;0.00020128 Mb;""
"Pb";"6p3/2";82;1487 eV;0.00039575999999999999 Mb;""
"Pb";"6p";82;1487 eV;0.00059703999999999996 Mb;""
"Bi";"4s";83;1487 eV;0.026655999999999999 Mb;""
"Bi";"4p1/2";83;1487 eV;0.028559999999999999 Mb;""
"Bi";"4p3/2";83;1487 eV;0.088127999999999998 Mb;""
"Bi";"4p";83;1487 eV;0.116688 Mb;""
"Bi";"4d3/2";83;1487 eV;0.124304 Mb;""
"Bi";"4d5/2";83;1487 eV;0.182784 Mb;""
"Bi";"4d";83;1487 eV;0.30708800000000003 Mb;""
"Bi";"4f5/2";83;1487 eV;0.148648 Mb;""
"Bi";"4f7/2";83;1487 eV;0.18904000000000001 Mb;""
"Bi";"4f";83;1487 eV;0.33768799999999999 Mb;""
"Bi";"5s";83;1487 eV;0.0076568000000000001 Mb;""
"Bi";"5p1/2";83;1487 eV;0.0074256000000000001 Mb;""
"Bi";"5p3/2";83;1487 eV;0.019175999999999999 Mb;""
"Bi";"5p";83;1487 eV;0.0266016 Mb;""
"Bi";"5d3/2";83;1487 eV;0.016864000000000001 Mb;""
"Bi";"5d5/2";83;1487 eV;0.023935999999999999 Mb;""
"Bi";"5d";83;1487 eV;0.040800000000000003 Mb;""
"Bi";"6s";83;1487 eV;0.0011424 Mb;""
"Bi";"6pl/2";83;1487 eV;0.00037127999999999998 Mb;""
"Bi";"6p3/2";83;1487 eV;0.00077247999999999998 Mb;""
"Bi";"6p";83;1487 eV;0.00114376 Mb;""
"Po";"4s";84;1487 eV;0.026792 Mb;""
"Po";"4p1/2";84;1487 eV;0.028152 Mb;""
"Po";"4p3/2";84;1487 eV;0.090032000000000001 Mb;""
"Po";"4p";84;1487 eV;0.118184 Mb;""
"Po";"4d3/2";84;1487 eV;0.12784000000000001 Mb;""
"Po";"4d5/2";84;1487 eV;0.18863199999999999 Mb;""
"Po";"4d";84;1487 eV;0.31647199999999998 Mb;""
"Po";"4f5/2";84;1487 eV;0.16184000000000001 Mb;""
"Po";"4f7/2";84;1487 eV;0.205904 Mb;""
"Po";"4f";84;1487 eV;0.36774400000000002 Mb;""
"Po";"5s";84;1487 eV;0.0079424000000000005 Mb;""
"Po";"5p1/2";84;1487 eV;0.0076975999999999998 Mb;""
"Po";"5p3/2";84;1487 eV;0.020400000000000001 Mb;""
"Po";"5p";84;1487 eV;0.0280976 Mb;""
"Po";"5d3/2";84;1487 eV;0.018495999999999999 Mb;""
"Po";"5d5/2";84;1487 eV;0.026519999999999998 Mb;""
"Po";"5d";84;1487 eV;0.045016 Mb;""
"Po";"6s";84;1487 eV;0.00127432 Mb;""
"Po";"6pl/2";84;1487 eV;0.00058208000000000001 Mb;""
"Po";"6p3/2";84;1487 eV;0.0012620800000000001 Mb;""
"Po";"6p";84;1487 eV;0.0018441600000000001 Mb;""
"At";"4s";85;1487 eV;0.026655999999999999 Mb;""
"At";"4p1/2";85;1487 eV;0.027744000000000001 Mb;""
"At";"4p3/2";85;1487 eV;0.092072000000000001 Mb;""
"At";"4p";85;1487 eV;0.11981600000000001 Mb;""
"At";"4d3/2";85;1487 eV;0.13124 Mb;""
"At";"4d5/2";85;1487 eV;0.19434399999999999 Mb;""
"At";"4d";85;1487 eV;0.32558399999999998 Mb;""
"At";"4f5/2";85;1487 eV;0.17571200000000001 Mb;""
"At";"4f7/2";85;1487 eV;0.223584 Mb;""
"At";"4f";85;1487 eV;0.39929599999999998 Mb;""
"At";"5s";85;1487 eV;0.0082279999999999992 Mb;""
"At";"5p1/2";85;1487 eV;0.0079424000000000005 Mb;""
"At";"5p3/2";85;1487 eV;0.021488 Mb;""
"At";"5p";85;1487 eV;0.029430399999999999 Mb;""
"At";"5d3/2";85;1487 eV;0.020264000000000001 Mb;""
"At";"5d5/2";85;1487 eV;0.029104000000000001 Mb;""
"At";"5d";85;1487 eV;0.049368000000000002 Mb;""
"At";"6s";85;1487 eV;0.0014048800000000001 Mb;""
"At";"6pl/2";85;1487 eV;0.00083232 Mb;""
"At";"6p3/2";85;1487 eV;0.0018632 Mb;""
"At";"6p";85;1487 eV;0.0026955199999999999 Mb;""
"Rn";"4s";86;1487 eV;0.026519999999999998 Mb;""
"Rn";"4p1/2";86;1487 eV;0.027199999999999998 Mb;""
"Rn";"4p3/2";86;1487 eV;0.094112000000000001 Mb;""
"Rn";"4p";86;1487 eV;0.121312 Mb;""
"Rn";"4d3/2";86;1487 eV;0.13464000000000001 Mb;""
"Rn";"4d5/2";86;1487 eV;0.19991999999999999 Mb;""
"Rn";"4d";86;1487 eV;0.33456000000000002 Mb;""
"Rn";"4f5/2";86;1487 eV;0.19040000000000001 Mb;""
"Rn";"4f7/2";86;1487 eV;0.24221599999999999 Mb;""
"Rn";"4f";86;1487 eV;0.432616 Mb;""
"Rn";"5s";86;1487 eV;0.0085000000000000006 Mb;""
"Rn";"5p1/2";86;1487 eV;0.0081872000000000004 Mb;""
"Rn";"5p3/2";86;1487 eV;0.022712 Mb;""
"Rn";"5p";86;1487 eV;0.030899200000000002 Mb;""
"Rn";"5d3/2";86;1487 eV;0.022032 Mb;""
"Rn";"5d5/2";86;1487 eV;0.031688000000000001 Mb;""
"Rn";"5d";86;1487 eV;0.053719999999999997 Mb;""
"Rn";"6s";86;1487 eV;0.0015354399999999999 Mb;""
"Rn";"6pl/2";86;1487 eV;0.00112064 Mb;""
"Rn";"6p3/2";86;1487 eV;0.0025772 Mb;""
"Rn";"6p";86;1487 eV;0.00369784 Mb;""
"Fr";"4s";87;1487 eV;0.026519999999999998 Mb;""
"Fr";"4p1/2";87;1487 eV;0.026792 Mb;""
"Fr";"4p3/2";87;1487 eV;0.096152000000000001 Mb;""
"Fr";"4p";87;1487 eV;0.122944 Mb;""
"Fr";"4d3/2";87;1487 eV;0.13817599999999999 Mb;""
"Fr";"4d5/2";87;1487 eV;0.20549600000000001 Mb;""
"Fr";"4d";87;1487 eV;0.34367199999999998 Mb;""
"Fr";"4f5/2";87;1487 eV;0.20563200000000001 Mb;""
"Fr";"4f7/2";87;1487 eV;0.26166400000000001 Mb;""
"Fr";"4f";87;1487 eV;0.46729599999999999 Mb;""
"Fr";"5s";87;1487 eV;0.0087720000000000003 Mb;""
"Fr";"5p1/2";87;1487 eV;0.0084048000000000005 Mb;""
"Fr";"5p3/2";87;1487 eV;0.024072 Mb;""
"Fr";"5p";87;1487 eV;0.0324768 Mb;""
"Fr";"5d3/2";87;1487 eV;0.023800000000000002 Mb;""
"Fr";"5d5/2";87;1487 eV;0.034408000000000001 Mb;""
"Fr";"5d";87;1487 eV;0.058208000000000003 Mb;""
"Fr";"6s";87;1487 eV;0.00170952 Mb;""
"Fr";"6pl/2";87;1487 eV;0.00131376 Mb;""
"Fr";"6p3/2";87;1487 eV;0.003264 Mb;""
"Fr";"6p";87;1487 eV;0.0045777600000000002 Mb;""
"Fr";"7s";87;1487 eV;6.2559999999999997e-005 Mb;""
"Ra";"4s";88;1487 eV;0.026519999999999998 Mb;""
"Ra";"4p1/2";88;1487 eV;0.025975999999999999 Mb;""
"Ra";"4p3/2";88;1487 eV;0.097919999999999993 Mb;""
"Ra";"4p";88;1487 eV;0.12389600000000001 Mb;""
"Ra";"4d3/2";88;1487 eV;0.14144000000000001 Mb;""
"Ra";"4d5/2";88;1487 eV;0.21120800000000001 Mb;""
"Ra";"4d";88;1487 eV;0.35264800000000002 Mb;""
"Ra";"4f5/2";88;1487 eV;0.22167999999999999 Mb;""
"Ra";"4f7/2";88;1487 eV;0.28206399999999998 Mb;""
"Ra";"4f";88;1487 eV;0.50374399999999997 Mb;""
"Ra";"5s";88;1487 eV;0.009044 Mb;""
"Ra";"5p1/2";88;1487 eV;0.0086087999999999998 Mb;""
"Ra";"5p3/2";88;1487 eV;0.025295999999999999 Mb;""
"Ra";"5p";88;1487 eV;0.033904799999999999 Mb;""
"Ra";"5d3/2";88;1487 eV;0.025568 Mb;""
"Ra";"5d5/2";88;1487 eV;0.037128000000000001 Mb;""
"Ra";"5d";88;1487 eV;0.062696000000000002 Mb;""
"Ra";"6s";88;1487 eV;0.0018808799999999999 Mb;""
"Ra";"6pl/2";88;1487 eV;0.00149464 Mb;""
"Ra";"6p3/2";88;1487 eV;0.0038896 Mb;""
"Ra";"6p";88;1487 eV;0.0053842400000000002 Mb;""
"Ra";"7s";88;1487 eV;0.000204 Mb;""
"Ac";"4s";89;1487 eV;0.026519999999999998 Mb;""
"Ac";"4p1/2";89;1487 eV;0.025295999999999999 Mb;""
"Ac";"4p3/2";89;1487 eV;0.099687999999999999 Mb;""
"Ac";"4p";89;1487 eV;0.124984 Mb;""
"Ac";"4d3/2";89;1487 eV;0.14429600000000001 Mb;""
"Ac";"4d5/2";89;1487 eV;0.21664800000000001 Mb;""
"Ac";"4d";89;1487 eV;0.36094399999999999 Mb;""
"Ac";"4f5/2";89;1487 eV;0.23840800000000001 Mb;""
"Ac";"4f7/2";89;1487 eV;0.30327999999999999 Mb;""
"Ac";"4f";89;1487 eV;0.54168799999999995 Mb;""
"Ac";"5s";89;1487 eV;0.0093024000000000006 Mb;""
"Ac";"5p1/2";89;1487 eV;0.0087992000000000001 Mb;""
"Ac";"5p3/2";89;1487 eV;0.026519999999999998 Mb;""
"Ac";"5p";89;1487 eV;0.035319200000000002 Mb;""
"Ac";"5d3/2";89;1487 eV;0.027472 Mb;""
"Ac";"5d5/2";89;1487 eV;0.039983999999999999 Mb;""
"Ac";"5d";89;1487 eV;0.067456000000000002 Mb;""
"Ac";"6s";89;1487 eV;0.0020481599999999998 Mb;""
"Ac";"6pl/2";89;1487 eV;0.00165376 Mb;""
"Ac";"6p3/2";89;1487 eV;0.0044336000000000002 Mb;""
"Ac";"6p";89;1487 eV;0.00608736 Mb;""
"Ac";"6d3/2";89;1487 eV;0.00021216 Mb;""
"Ac";"6d5/2";89;1487 eV;0.00029240000000000001 Mb;""
"Ac";"6d";89;1487 eV;0.00050456000000000003 Mb;""
"Ac";"7s";89;1487 eV;0.00025431999999999999 Mb;""
"Th";"4s";90;1487 eV;0.026519999999999998 Mb;""
"Th";"4p1/2";90;1487 eV;0.024479999999999998 Mb;""
"Th";"4p3/2";90;1487 eV;0.101456 Mb;""
"Th";"4p";90;1487 eV;0.12593599999999999 Mb;""
"Th";"4d3/2";90;1487 eV;0.14715200000000001 Mb;""
"Th";"4d5/2";90;1487 eV;0.22181600000000001 Mb;""
"Th";"4d";90;1487 eV;0.36896800000000002 Mb;""
"Th";"4f5/2";90;1487 eV;0.25581599999999999 Mb;""
"Th";"4f7/2";90;1487 eV;0.32558399999999998 Mb;""
"Th";"4f";90;1487 eV;0.58140000000000003 Mb;""
"Th";"5s";90;1487 eV;0.0095472000000000005 Mb;""
"Th";"5p1/2";90;1487 eV;0.0089759999999999996 Mb;""
"Th";"5p3/2";90;1487 eV;0.027879999999999999 Mb;""
"Th";"5p";90;1487 eV;0.036856 Mb;""
"Th";"5d3/2";90;1487 eV;0.029239999999999999 Mb;""
"Th";"5d5/2";90;1487 eV;0.042840000000000003 Mb;""
"Th";"5d";90;1487 eV;0.072080000000000005 Mb;""
"Th";"6s";90;1487 eV;0.0022100000000000002 Mb;""
"Th";"6pl/2";90;1487 eV;0.001802 Mb;""
"Th";"6p3/2";90;1487 eV;0.0049776000000000004 Mb;""
"Th";"6p";90;1487 eV;0.0067796000000000002 Mb;""
"Th";"6d3/2";90;1487 eV;0.00053992000000000005 Mb;""
"Th";"6d5/2";90;1487 eV;0.00075071999999999997 Mb;""
"Th";"6d";90;1487 eV;0.00129064 Mb;""
"Th";"7s";90;1487 eV;0.00029376000000000001 Mb;""
"Pa";"4s";91;1487 eV;0.026112 Mb;""
"Pa";"4p1/2";91;1487 eV;0.023664000000000001 Mb;""
"Pa";"4p3/2";91;1487 eV;0.103496 Mb;""
"Pa";"4p";91;1487 eV;0.12716 Mb;""
"Pa";"4d3/2";91;1487 eV;0.150144 Mb;""
"Pa";"4d5/2";91;1487 eV;0.226712 Mb;""
"Pa";"4d";91;1487 eV;0.37685600000000002 Mb;""
"Pa";"4f5/2";91;1487 eV;0.27363199999999999 Mb;""
"Pa";"4f7/2";91;1487 eV;0.34816000000000003 Mb;""
"Pa";"4f";91;1487 eV;0.62179200000000001 Mb;""
"Pa";"5s";91;1487 eV;0.0097648000000000006 Mb;""
"Pa";"5p1/2";91;1487 eV;0.0090711999999999997 Mb;""
"Pa";"5p3/2";91;1487 eV;0.028968000000000001 Mb;""
"Pa";"5p";91;1487 eV;0.038039200000000002 Mb;""
"Pa";"5d3/2";91;1487 eV;0.030599999999999999 Mb;""
"Pa";"5d5/2";91;1487 eV;0.044743999999999999 Mb;""
"Pa";"5d";91;1487 eV;0.075343999999999994 Mb;""
"Pa";"5f5/2";91;1487 eV;0.0027744000000000002 Mb;""
"Pa";"5f7/2";91;1487 eV;0.0034680000000000002 Mb;""
"Pa";"5f";91;1487 eV;0.0062424000000000004 Mb;""
"Pa";"6s";91;1487 eV;0.0022168000000000001 Mb;""
"Pa";"6pl/2";91;1487 eV;0.001768 Mb;""
"Pa";"6p3/2";91;1487 eV;0.0049096000000000001 Mb;""
"Pa";"6p";91;1487 eV;0.0066775999999999997 Mb;""
"Pa";"6d3/2";91;1487 eV;0.00023664000000000001 Mb;""
"Pa";"6d5/2";91;1487 eV;0.00032232000000000002 Mb;""
"Pa";"6d";91;1487 eV;0.00055895999999999995 Mb;""
"Pa";"7s";91;1487 eV;0.0002652 Mb;""
"U";"4s";92;1487 eV;0.025839999999999998 Mb;""
"U";"4p1/2";92;1487 eV;0.022848 Mb;""
"U";"4p3/2";92;1487 eV;0.104856 Mb;""
"U";"4p";92;1487 eV;0.12770400000000001 Mb;""
"U";"4d3/2";92;1487 eV;0.153 Mb;""
"U";"4d5/2";92;1487 eV;0.23188 Mb;""
"U";"4d";92;1487 eV;0.38488 Mb;""
"U";"4f5/2";92;1487 eV;0.29239999999999999 Mb;""
"U";"4f7/2";92;1487 eV;0.37209599999999998 Mb;""
"U";"4f";92;1487 eV;0.66449599999999998 Mb;""
"U";"5s";92;1487 eV;0.0099552000000000009 Mb;""
"U";"5p1/2";92;1487 eV;0.0091663999999999999 Mb;""
"U";"5p3/2";92;1487 eV;0.030192 Mb;""
"U";"5p";92;1487 eV;0.039358400000000002 Mb;""
"U";"5d3/2";92;1487 eV;0.032096 Mb;""
"U";"5d5/2";92;1487 eV;0.047056000000000001 Mb;""
