Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
779.9	8731.5625	531.9	6416.5909	555.9	7125.0	290.9	3873.6429	400.9	6809.695	199.9	3937.5417	90.9	4686.25	1159.0	9645
779.8	8655.75	531.8	6402.3807	555.8	7109.45	290.8	3861.8929	400.8	6825.4	199.8	3925.0	90.8	4703.125	1158.0	9660
779.7	8571.5781	531.7	6388.2216	555.7	7125.85	290.7	3871.8214	400.7	6822.775	199.7	3933.0625	90.7	4748.75	1157.0	9520
779.6	8515.3281	531.6	6358.8523	555.6	7146.05	290.6	3852.1964	400.6	6819.52	199.6	3930.6458	90.6	4828.75	1156.0	9940
779.5	8488.5313	531.5	6353.0966	555.5	7123.425	290.5	3884.0893	400.5	6818.715	199.5	3935.8542	90.5	4844.375	1155.0	10030
779.4	8442.5	531.4	6339.0966	555.4	7132.45	290.4	3880.2857	400.4	6838.755	199.4	3943.0625	90.4	4985.0	1154.0	9310
779.3	8374.6406	531.3	6313.9034	555.3	7133.975	290.3	3877.0357	400.3	6827.195	199.3	3940.3333	90.3	4888.125	1153.0	9945
779.2	8365.6719	531.2	6315.6307	555.2	7102.525	290.2	3881.8571	400.2	6822.995	199.2	3924.25	90.2	5038.125	1152.0	9650
779.1	8344.3438	531.1	6304.25	555.1	7123.65	290.1	3888.6786	400.1	6827.35	199.1	3956.4792	90.1	5113.75	1151.0	9745
779.0	8333.0781	531.0	6286.9432	555.0	7143.8	290.0	3886.1071	400.0	6828.755	199.0	3951.8542	90.0	5082.5	1150.0	9510
778.9	8288.2188	530.9	6296.0795	554.9	7135.35	289.9	3893.7857	399.9	6823.6	198.9	3951.5	89.9	5338.75	1149.0	9520
778.8	8292.7188	530.8	6271.0455	554.8	7137.125	289.8	3901.8393	399.8	6813.075	198.8	3941.875	89.8	5445.0	1148.0	9600
778.7	8262.9375	530.7	6273.3693	554.7	7155.025	289.7	3887.5357	399.7	6829.265	198.7	3939.7917	89.7	5697.5	1147.0	9915
778.6	8234.7188	530.6	6260.9261	554.6	7147.35	289.6	3887.0357	399.6	6827.985	198.6	3923.9583	89.6	5806.875	1146.0	9205
778.5	8241.6719	530.5	6261.1307	554.5	7168.35	289.5	3895.5714	399.5	6833.385	198.5	3939.8542	89.5	6268.125	1145.0	9555
778.4	8225.9063	530.4	6248.3239	554.4	7160.5	289.4	3900.625	399.4	6820.215	198.4	3943.5208	89.4	6536.875	1144.0	9085
778.3	8210.0938	530.3	6239.483	554.3	7176.375	289.3	3904.8571	399.3	6814.165	198.3	3915.25	89.3	6902.5	1143.0	9430
778.2	8204.0625	530.2	6233.2045	554.2	7173.9	289.2	3911.5179	399.2	6815.555	198.2	3939.3542	89.2	7367.5	1142.0	9355
778.1	8211.25	530.1	6245.6193	554.1	7179.15	289.1	3910.6786	399.1	6819.855	198.1	3926.5625	89.1	8067.5	1141.0	9420
778.0	8210.9219	530.0	6227.1307	554.0	7178.375	289.0	3922.5357	399.0	6814.805	198.0	3925.25	89.0	8745.625	1140.0	9505
777.9	8201.7344	NaN	NaN	553.9	7187.9	288.9	3921.3393	398.9	6813.545	197.9	3914.4375	88.9	9327.5	1139.0	9510
777.8	8191.0313	NaN	NaN	553.8	7194.9	288.8	3941.1071	398.8	6812.195	197.8	3911.8125	88.8	10209.375	1138.0	9475
777.7	8167.5313	NaN	NaN	553.7	7196.0	288.7	3955.1607	398.7	6803.595	197.7	3908.3958	88.7	11008.125	1137.0	9235
777.6	8172.1094	NaN	NaN	553.6	7203.5	288.6	3974.0714	398.6	6809.045	197.6	3921.9375	88.6	11848.125	1136.0	9830
777.5	8170.75	NaN	NaN	553.5	7199.35	288.5	3981.9464	398.5	6792.51	197.5	3917.4375	88.5	12743.75	1135.0	9245
777.4	8182.5625	NaN	NaN	553.4	7231.85	288.4	3986.4643	398.4	6789.19	197.4	3893.3333	88.4	13618.75	1134.0	9155
777.3	8160.2969	NaN	NaN	553.3	7219.575	288.3	3997.1071	398.3	6774.185	197.3	3896.2292	88.3	14481.25	1133.0	9205
777.2	8171.75	NaN	NaN	553.2	7223.725	288.2	4017.2321	398.2	6792.825	197.2	3885.7917	88.2	15159.375	1132.0	8935
