Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
784.0	8461.5625	536.0	6822.6989	560.0	7363.85	295.0	3947.3929	405.0	6884.37	204.0	3950.1875	95.0	4411.25	1200.0	12050
783.9	8473.1406	535.9	6834.1477	559.9	7372.875	294.9	3949.9643	404.9	6890.63	203.9	3957.125	94.9	4468.75	1199.0	11990
783.8	8474.3281	535.8	6825.358	559.8	7359.1	294.8	3934.6071	404.8	6887.465	203.8	3948.375	94.8	4381.875	1198.0	11255
783.7	8475.8438	535.7	6833.5511	559.7	7352.925	294.7	3953.5536	404.7	6895.83	203.7	3952.375	94.7	4470.0	1197.0	11955
783.6	8503.5625	535.6	6829.7273	559.6	7366.825	294.6	3919.8929	404.6	6899.79	203.6	3948.5417	94.6	4436.25	1196.0	12165
783.5	8459.2656	535.5	6832.5511	559.5	7363.2	294.5	3942.25	404.5	6899.31	203.5	3958.9583	94.5	4412.5	1195.0	11390
783.4	8491.9219	535.4	6831.9659	559.4	7373.525	294.4	3922.5	404.4	6903.135	203.4	3933.9375	94.4	4411.875	1194.0	11195
783.3	8485.0938	535.3	6843.3409	559.3	7370.475	294.3	3939.3036	404.3	6884.72	203.3	3947.4792	94.3	4387.5	1193.0	11625
783.2	8501.2813	535.2	6848.1989	559.2	7350.475	294.2	3940.7857	404.2	6913.22	203.2	3928.125	94.2	4406.875	1192.0	11125
783.1	8510.25	535.1	6847.0284	559.1	7370.4	294.1	3941.2321	404.1	6884.605	203.1	3953.9375	94.1	4438.125	1191.0	11215
783.0	8501.375	535.0	6862.3409	559.0	7367.475	294.0	3925.9464	404.0	6898.595	203.0	3948.1042	94.0	4435.0	1190.0	11510
782.9	8512.8125	534.9	6885.9318	558.9	7346.725	293.9	3934.1786	403.9	6912.575	202.9	3946.7917	93.9	4397.5	1189.0	11730
782.8	8521.1094	534.8	6895.4545	558.8	7356.5	293.8	3964.5179	403.8	6901.135	202.8	3956.3958	93.8	4426.875	1188.0	11080
782.7	8518.8594	534.7	6910.2955	558.7	7364.4	293.7	3944.8929	403.7	6923.4	202.7	3968.2708	93.7	4427.5	1187.0	10855
782.6	8531.2813	534.6	6929.1591	558.6	7382.35	293.6	3937.1607	403.6	6906.935	202.6	3949.2083	93.6	4459.375	1186.0	11530
782.5	8546.4531	534.5	6936.3864	558.5	7351.35	293.5	3947.9464	403.5	6912.005	202.5	3946.2708	93.5	4440.625	1185.0	11185
782.4	8575.9375	534.4	6961.7955	558.4	7371.2	293.4	3938.6429	403.4	6912.385	202.4	3976.2292	93.4	4501.875	1184.0	11080
782.3	8564.8125	534.3	6982.1932	558.3	7370.925	293.3	3949.8214	403.3	6913.02	202.3	3946.7917	93.3	4467.5	1183.0	11000
782.2	8595.6719	534.2	6996.0568	558.2	7356.4	293.2	3947.4643	403.2	6919.625	202.2	3956.3125	93.2	4493.75	1182.0	11035
782.1	8639.5625	534.1	7002.2273	558.1	7368.625	293.1	3940.6429	403.1	6918.975	202.1	3943.0	93.1	4426.25	1181.0	11250
782.0	8629.0938	534.0	7031.7841	558.0	7371.4	293.0	3942.3929	403.0	6929.61	202.0	3969.625	93.0	4478.125	1180.0	10985
781.9	8668.3125	533.9	7040.4261	557.9	7373.25	292.9	3954.8036	402.9	6926.84	201.9	3953.625	92.9	4414.375	1179.0	10740
781.8	8686.0938	533.8	7058.0341	557.8	7365.525	292.8	3934.4643	402.8	6936.345	201.8	3962.8125	92.8	4581.875	1178.0	10755
781.7	8700.1094	533.7	7059.3636	557.7	7374.35	292.7	3940.1607	402.7	6937.555	201.7	3951.1458	92.7	4451.875	1177.0	10550
781.6	8740.9688	533.6	7058.4261	557.6	7373.45	292.6	3939.6429	402.6	6939.665	201.6	3973.5208	92.6	4411.875	1176.0	10705
781.5	8757.0625	533.5	7061.6705	557.5	7365.075	292.5	3959.0893	402.5	6945.045	201.5	3959.3125	92.5	4553.75	1175.0	10895
781.4	8767.9531	533.4	7062.4602	557.4	7358.325	292.4	3925.4286	402.4	6943.24	201.4	3955.6458	92.4	4370.625	1174.0	10940
781.3	8769.7813	533.3	7039.4943	557.3	7377.6	292.3	3937.75	402.3	6945.93	201.3	3967.2083	92.3	4475.625	1173.0	10635
781.2	8807.1406	533.2	7022.4716	557.2	7303.075	292.2	3947.0893	402.2	6961.655	201.2	3968.7083	92.2	4502.5	1172.0	11070
781.1	8792.5313	533.1	6988.9034	557.1	7380.675	292.1	3943.6071	402.1	6952.365	201.1	3983.1042	92.1	4598.125	1171.0	10370
781.0	8817.75	533.0	6986.142	557.0	7392.25	292.0	3943.3214	402.0	6968.93	201.0	3961.5417	92.0	4551.25	1170.0	10555
780.9	8807.6094	532.9	6946.625	556.9	7392.325	291.9	3949.4107	401.9	6975.87	200.9	3955.3333	91.9	4594.375	1169.0	10880
780.8	8810.3281	532.8	6913.4318	556.8	7360.3	291.8	3966.4643	401.8	6977.11	200.8	3983.8333	91.8	4492.5	1168.0	10565
780.7	8809.0156	532.7	6880.5568	556.7	7371.05	291.7	3962.5714	401.7	6977.35	200.7	3988.7917	91.7	4675.0	1167.0	10425
780.6	8774.1406	532.6	6852.5227	556.6	7389.9	291.6	3950.5536	401.6	6978.18	200.6	3977.0417	91.6	4676.25	1166.0	10795
780.5	8758.5469	532.5	6820.8011	556.5	7377.575	291.5	3965.2857	401.5	6990.205	200.5	3972.5833	91.5	4670.0	1165.0	10340
780.4	8728.6406	532.4	6780.767	556.4	7403.675	291.4	3970.4107	401.4	6989.92	200.4	3994.8125	91.4	4696.25	1164.0	10380
780.3	8703.0625	532.3	6743.7045	556.3	7390.925	291.3	3974.4643	401.3	6997.185	200.3	3980.1667	91.3	4818.75	1163.0	10215
780.2	8708.8594	532.2	6724.25	556.2	7375.325	291.2	3963.8036	401.2	6998.45	200.2	3974.125	91.2	4803.75	1162.0	10300
780.1	8664.5156	532.1	6679.4545	556.1	7393.175	291.1	3963.1429	401.1	7001.155	200.1	4005.2708	91.1	4755.0	1161.0	10260
780.0	8634.25	532.0	6654.6193	556.0	7367.8	291.0	3982.5	401.0	7002.35	200.0	3971.4375	91.0	4908.75	1160.0	10830
779.9	8586.2656	531.9	6630.608	555.9	7381.45	290.9	3960.0	400.9	7021.315	199.9	3968.7083	90.9	4915.625	1159.0	10025
779.8	8589.6406	531.8	6606.2614	555.8	7376.4	290.8	3958.4464	400.8	7022.015	199.8	3992.0	90.8	4957.5	1158.0	10360
779.7	8557.8906	531.7	6587.1136	555.7	7400.125	290.7	3972.8036	400.7	7020.605	199.7	3975.2917	90.7	5036.25	1157.0	10255
