Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
779.9	8881.0625	531.9	6658.2639	555.9	7424.375	290.9	3987.875	400.9	7031.9583	199.9	3988.5	90.9	4792.5	1159.0	10395
779.8	8759.6875	531.8	6647.8611	555.8	7415.375	290.8	3974.9375	400.8	7043.3889	199.8	4009.625	90.8	4872.5	1158.0	10315
779.7	8798.0	531.7	6618.1389	555.7	7423.0	290.7	4000.5	400.7	7073.1389	199.7	4032.8125	90.7	4972.5	1157.0	10150
779.6	8764.375	531.6	6613.5	555.6	7436.5	290.6	3974.1875	400.6	7044.8056	199.6	4021.75	90.6	4936.25	1156.0	10350
779.5	8706.8125	531.5	6599.4861	555.5	7398.0	290.5	3981.75	400.5	7065.7917	199.5	4048.25	90.5	5107.5	1155.0	10020
779.4	8641.8125	531.4	6594.3056	555.4	7467.125	290.4	3993.125	400.4	7059.8611	199.4	4020.75	90.4	5018.75	1154.0	10360
779.3	8641.125	531.3	6572.25	555.3	7401.625	290.3	3968.5625	400.3	7045.0	199.3	4011.9375	90.3	5128.75	1153.0	10055
779.2	8601.875	531.2	6546.8472	555.2	7425.875	290.2	4016.5625	400.2	7052.7083	199.2	4046.1875	90.2	5298.75	1152.0	10050
779.1	8599.125	531.1	6532.375	555.1	7434.375	290.1	4005.3125	400.1	7063.3056	199.1	4026.5625	90.1	5343.75	1151.0	9870
779.0	8594.5	531.0	6534.5556	555.0	7420.125	290.0	4005.5625	400.0	7072.75	199.0	4001.375	90.0	5496.25	1150.0	10130
778.9	8559.6875	530.9	6528.7639	554.9	7505.75	289.9	3994.375	399.9	7064.7917	198.9	4021.4375	89.9	5465.0	1149.0	9745
778.8	8538.8125	530.8	6523.2222	554.8	7516.0	289.8	3980.6875	399.8	7064.3056	198.8	4046.25	89.8	5763.75	1148.0	9600
778.7	8512.625	530.7	6497.2361	554.7	7490.625	289.7	4034.75	399.7	7069.0972	198.7	4046.125	89.7	6008.75	1147.0	9855
778.6	8531.625	530.6	6525.6806	554.6	7454.375	289.6	4021.3125	399.6	7042.2222	198.6	4035.6875	89.6	6187.5	1146.0	9800
778.5	8549.6875	530.5	6510.6944	554.5	7440.0	289.5	4022.75	399.5	7065.75	198.5	4020.1875	89.5	6655.0	1145.0	9925
778.4	8476.5	530.4	6499.8472	554.4	7466.5	289.4	4003.5	399.4	7050.375	198.4	4029.75	89.4	6950.0	1144.0	9775
778.3	8506.375	530.3	6472.5694	554.3	7494.75	289.3	4032.375	399.3	7081.0	198.3	4040.1875	89.3	7296.25	1143.0	9575
778.2	8543.0	530.2	6461.6806	554.2	7476.875	289.2	4055.6875	399.2	7060.6528	198.2	4013.9375	89.2	7891.25	1142.0	10070
778.1	8519.9375	530.1	6492.4583	554.1	7475.0	289.1	4050.0625	399.1	7060.7917	198.1	4033.0625	89.1	8521.25	1141.0	9460
778.0	8519.8125	530.0	6468.0	554.0	7469.625	289.0	4055.1875	399.0	7050.5833	198.0	4015.375	89.0	9188.75	1140.0	9965
777.9	8489.75	NaN	NaN	553.9	7518.5	288.9	4052.625	398.9	7038.4722	197.9	4041.875	88.9	9878.75	1139.0	9855
777.8	8506.9375	NaN	NaN	553.8	7494.375	288.8	4103.3125	398.8	7040.125	197.8	4033.5625	88.8	10813.75	1138.0	9830
777.7	8505.625	NaN	NaN	553.7	7448.875	288.7	4083.25	398.7	7030.3056	197.7	4014.6875	88.7	11876.25	1137.0	10115
777.6	8440.375	NaN	NaN	553.6	7469.125	288.6	4086.875	398.6	7040.3194	197.6	4005.9375	88.6	12625.0	1136.0	9475
777.5	8464.9375	NaN	NaN	553.5	7530.0	288.5	4120.5625	398.5	7057.1806	197.5	4016.0	88.5	13557.5	1135.0	9490
777.4	8472.5625	NaN	NaN	553.4	7539.25	288.4	4114.4375	398.4	7038.5	197.4	4002.0	88.4	14440.0	1134.0	9795
777.3	8463.8125	NaN	NaN	553.3	7548.375	288.3	4120.9375	398.3	7010.5556	197.3	4000.0625	88.3	15370.0	1133.0	9450
777.2	8421.1875	NaN	NaN	553.2	7571.5	288.2	4144.875	398.2	7038.2639	197.2	4027.9375	88.2	15728.75	1132.0	9450
777.1	8474.9375	NaN	NaN	553.1	7549.5	288.1	4171.125	398.1	7010.0278	197.1	3991.75	88.1	16686.25	1131.0	9450
777.0	8485.375	NaN	NaN	553.0	7554.5	288.0	4193.75	398.0	7028.7639	197.0	4029.1875	88.0	16992.5	1130.0	9640
776.9	8443.5	NaN	NaN	552.9	7623.0	287.9	4203.0	397.9	7011.0833	196.9	4006.4375	87.9	17112.5	1129.0	9025
776.8	8445.6875	NaN	NaN	552.8	7615.875	287.8	4217.5	397.8	7015.7222	196.8	4008.375	87.8	16725.0	1128.0	9440
776.7	8453.375	NaN	NaN	552.7	7631.75	287.7	4254.0625	397.7	7008.9028	196.7	3981.375	87.7	16470.0	1127.0	9290
776.6	8472.9375	NaN	NaN	552.6	7661.25	287.6	4278.3125	397.6	7011.5139	196.6	3993.75	87.6	15826.25	1126.0	9580
776.5	8495.125	NaN	NaN	552.5	7627.125	287.5	4247.25	397.5	7015.2083	196.5	4002.9375	87.5	15050.0	1125.0	9140
776.4	8483.1875	NaN	NaN	552.4	7604.5	287.4	4311.6875	397.4	7012.4306	196.4	4020.0625	87.4	14138.75	1124.0	9555
776.3	8438.1875	NaN	NaN	552.3	7645.125	287.3	4332.0	397.3	7018.125	196.3	4027.25	87.3	13013.75	1123.0	9580
776.2	8442.0	NaN	NaN	552.2	7649.375	287.2	4375.125	397.2	7016.6667	196.2	4010.3125	87.2	11755.0	1122.0	9475
776.1	8454.9375	NaN	NaN	552.1	7627.25	287.1	4380.375	397.1	7014.1944	196.1	3986.9375	87.1	10891.25	1121.0	9295
776.0	8468.0625	NaN	NaN	552.0	7665.5	287.0	4415.375	397.0	7024.9167	196.0	3985.125	87.0	9866.25	1120.0	9075
NaN	NaN	NaN	NaN	551.9	7636.625	286.9	4439.3125	396.9	7019.0417	195.9	4019.8125	86.9	8907.5	1119.0	9000
NaN	NaN	NaN	NaN	551.8	7736.125	286.8	4489.4375	396.8	7032.4583	195.8	4022.1875	86.8	8410.0	1118.0	9355
NaN	NaN	NaN	NaN	551.7	7739.5	286.7	4497.25	396.7	7007.9583	195.7	4009.75	86.7	7802.5	1117.0	9555
NaN	NaN	NaN	NaN	551.6	7764.875	286.6	4529.0625	396.6	6999.5278	195.6	4002.6875	86.6	7171.25	1116.0	9040
NaN	NaN	NaN	NaN	551.5	7817.625	286.5	4513.375	396.5	7019.0278	195.5	3910.125	86.5	6771.25	1115.0	9270
NaN	NaN	NaN	NaN	551.4	7772.25	286.4	4560.5	396.4	7012.1944	195.4	4004.4375	86.4	6486.25	1114.0	9350
NaN	NaN	NaN	NaN	551.3	7785.875	286.3	4579.6875	396.3	7026.8611	195.3	3961.8125	86.3	6348.75	1113.0	9255
NaN	NaN	NaN	NaN	551.2	7868.375	286.2	4602.4375	396.2	7029.4583	195.2	3990.75	86.2	6417.5	1112.0	8945
NaN	NaN	NaN	NaN	551.1	7766.25	286.1	4598.5	396.1	7017.4861	195.1	4012.8125	86.1	6402.5	1111.0	9010
NaN	NaN	NaN	NaN	551.0	7865.875	286.0	4632.75	396.0	7023.0	195.0	4006.75	86.0	6597.5	1110.0	9120
NaN	NaN	NaN	NaN	550.9	7903.25	285.9	4618.25	395.9	7010.2778	NaN	NaN	85.9	6812.5	1109.0	8920
NaN	NaN	NaN	NaN	550.8	7861.625	285.8	4688.5625	395.8	7022.8611	NaN	NaN	85.8	7067.5	1108.0	9395
NaN	NaN	NaN	NaN	550.7	7920.0	285.7	4684.1875	395.7	7026.375	NaN	NaN	85.7	7311.25	1107.0	9250
NaN	NaN	NaN	NaN	550.6	8019.625	285.6	4637.5625	395.6	7035.9583	NaN	NaN	85.6	8116.25	1106.0	9175
NaN	NaN	NaN	NaN	550.5	7964.375	285.5	4665.5	395.5	7022.8611	NaN	NaN	85.5	8700.0	1105.0	8595
