path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
16,105.11,0.1796925262235094,535.31,0.03482574568932062,405.4,0.053152002106351404,158.4,0.043735934869894244,290.31,0.07699140888276323,958.4,3.5929840566536058,1396.8,80.97815,290.31,3.450178791117237,535.31,2.821524054310679,405.4,2.9154528978936485,105.11,4.95716277377649,158.4,4.592538665130106,958.4,106.5760459433464
17,105.01,0.220610583233821,535.21,0.039189062365101446,405.3,0.022507730491821754,158.3,0.06808907445303625,290.21,0.11039281911484666,958.3,5.572301825510834,1396.6,78.730588,290.21,3.4500238808851535,535.21,2.8212760376348984,405.3,2.9153875695081783,105.01,4.956414516766179,158.3,4.5953218255469634,958.3,106.55054817448917
18,104.91,0.21878831911729968,535.11,0.0865578284208186,405.2,0.04188442987000185,158.2,0.054469991855744304,290.11,0.11355925992967464,958.2,7.141541659760321,1396.4,77.728872,290.11,3.449838740070325,535.11,2.8208546715791813,405.2,2.9153319701299982,104.91,4.9555931808827,158.2,4.598115608144256,958.2,106.51517834023969
19,104.81,0.24051706472239598,535.01,0.09525275868890581,405.1,0.09806997361039516,158.1,-0.017808635618997926,290.01,0.10380635572537589,958.1,6.813404233249045,1396.2,77.258456,290.01,3.449659044274624,535.01,2.8202454413110942,405.1,2.915211126389605,104.81,4.954734635277604,158.1,4.600921235618998,958.1,106.47635576675096
20,104.71,0.21833907059692326,534.91,0.10464369299617093,405.0,0.09227092365639455,158.0,0.003748714861808722,289.91,0.1346827142461473,958.0,6.488199212045913,1396.0,77.750671,289.91,3.449461885753853,534.91,2.819575607003829,405.0,2.9150467763436057,104.71,4.9538769294030764,158.0,4.6037399851381915,958.0,106.43935078795408
21,104.61,0.25392704276131095,534.81,0.1688354961897649,404.9,0.09328834498436889,157.9,0.012280629186084191,289.81,0.15830892995642465,957.9,5.946071275865549,1395.8,78.501562,289.81,3.4492196700435755,534.81,2.818659203810235,404.9,2.9148865550156313,104.61,4.952994157238689,157.9,4.606571370813916,957.9,106.40475872413445
22,104.51,0.22399769218099053,534.71,0.14151334614731104,404.8,0.10777465302674649,157.8,0.029125189493035997,289.71,0.1683397698997542,957.8,6.777708753414274,1395.6,78.332942,289.71,3.448949630100246,534.71,2.8176192538526887,404.8,2.9147129469732533,104.51,4.95210080781901,157.8,4.609414910506964,957.8,106.36936124658573
23,104.41,0.2662412596644286,534.61,0.1786972418913213,404.7,0.11318924452771206,157.7,0.07379586564124363,289.61,0.2167755440980188,957.7,8.217124286422404,1395.4,77.841574,289.61,3.448631255901981,534.61,2.8165462581086786,404.7,2.9145221554722878,104.41,4.951184440335571,157.7,4.612270134358757,957.7,106.3276457135776
24,104.31,0.2500223731618787,534.51,0.2265432649637873,404.6,0.09699733031795743,157.6,0.02096169836409789,289.51,0.12867332611117321,957.6,7.860562311321743,1395.2,76.574722,289.51,3.4483456738888267,534.51,2.8151883350362126,404.6,2.9143406696820424,104.31,4.950219426838121,157.6,4.615136601635902,957.6,106.28291768867825
25,104.21,0.2514893119539341,534.41,0.27957321401292123,404.5,0.0693779871885929,157.5,0.11290085459912724,289.41,0.15558922549383958,957.5,9.601702223472799,1395.0,75.376263,289.41,3.4481106745061605,534.41,2.813492385987079,404.5,2.914197012811407,104.21,4.949281988046066,157.5,4.618013945400873,957.5,106.2343377765272
26,104.11,0.2786142955112645,534.31,0.3075464973421722,404.4,0.07048094844069341,157.4,0.11785938032216148,289.31,0.15458964985976387,957.4,12.771243620749175,1394.8,73.652783,289.31,3.447854250140236,534.31,2.811525002657828,404.4,2.9140762515593064,104.11,4.948291104488735,157.4,4.620901819677838,957.4,106.17209637925083
