path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
1283,,,,,,,,,,,,,1143.4,31.037812,,,,,,,,,,,,
1284,,,,,,,,,,,,,1143.2,29.940584,,,,,,,,,,,,
1285,,,,,,,,,,,,,1143.0,30.131945,,,,,,,,,,,,
1286,,,,,,,,,,,,,1142.8,30.929614,,,,,,,,,,,,
1287,,,,,,,,,,,,,1142.6,31.777187,,,,,,,,,,,,
1288,,,,,,,,,,,,,1142.4,30.831287,,,,,,,,,,,,
1289,,,,,,,,,,,,,1142.2,31.165464,,,,,,,,,,,,
1290,,,,,,,,,,,,,1142.0,30.25278,,,,,,,,,,,,
1291,,,,,,,,,,,,,1141.8,30.434967,,,,,,,,,,,,
1292,,,,,,,,,,,,,1141.6,30.588534,,,,,,,,,,,,
1293,,,,,,,,,,,,,1141.4,31.573536,,,,,,,,,,,,
1294,,,,,,,,,,,,,1141.2,30.796417,,,,,,,,,,,,
1295,,,,,,,,,,,,,1141.0,30.632196,,,,,,,,,,,,
1296,,,,,,,,,,,,,1140.8,31.144962,,,,,,,,,,,,
1297,,,,,,,,,,,,,1140.6,30.562449,,,,,,,,,,,,
1298,,,,,,,,,,,,,1140.4,30.986353,,,,,,,,,,,,
1299,,,,,,,,,,,,,1140.2,31.525426,,,,,,,,,,,,
1300,,,,,,,,,,,,,1140.0,31.542116,,,,,,,,,,,,
1301,,,,,,,,,,,,,1139.8,31.560605,,,,,,,,,,,,
1302,,,,,,,,,,,,,1139.6,31.242062,,,,,,,,,,,,
1303,,,,,,,,,,,,,1139.4,30.986979,,,,,,,,,,,,
1304,,,,,,,,,,,,,1139.2,30.79899,,,,,,,,,,,,
1305,,,,,,,,,,,,,1139.0,31.7588,,,,,,,,,,,,
1306,,,,,,,,,,,,,1138.8,31.679392,,,,,,,,,,,,
1307,,,,,,,,,,,,,1138.6,30.420979,,,,,,,,,,,,
1308,,,,,,,,,,,,,1138.4,30.393959,,,,,,,,,,,,
1309,,,,,,,,,,,,,1138.2,30.107742,,,,,,,,,,,,
1310,,,,,,,,,,,,,1138.0,30.30913,,,,,,,,,,,,
1311,,,,,,,,,,,,,1137.8,29.783059,,,,,,,,,,,,
1312,,,,,,,,,,,,,1137.6,30.6677,,,,,,,,,,,,
1313,,,,,,,,,,,,,1137.4,31.044517,,,,,,,,,,,,
1314,,,,,,,,,,,,,1137.2,31.068409,,,,,,,,,,,,
1315,,,,,,,,,,,,,1137.0,31.748449,,,,,,,,,,,,
1316,,,,,,,,,,,,,1136.8,31.244787,,,,,,,,,,,,
1317,,,,,,,,,,,,,1136.6,31.430638,,,,,,,,,,,,
1318,,,,,,,,,,,,,1136.4,30.722715,,,,,,,,,,,,
1319,,,,,,,,,,,,,1136.2,30.386447,,,,,,,,,,,,
1320,,,,,,,,,,,,,1136.0,30.426651,,,,,,,,,,,,
1321,,,,,,,,,,,,,1135.8,30.930064,,,,,,,,,,,,
1322,,,,,,,,,,,,,1135.6,30.503741,,,,,,,,,,,,
1323,,,,,,,,,,,,,1135.4,30.783283,,,,,,,,,,,,
1324,,,,,,,,,,,,,1135.2,31.44982,,,,,,,,,,,,
1325,,,,,,,,,,,,,1135.0,31.169012,,,,,,,,,,,,
1326,,,,,,,,,,,,,1134.8,31.365218,,,,,,,,,,,,
1327,,,,,,,,,,,,,1134.6,30.858646,,,,,,,,,,,,
1328,,,,,,,,,,,,,1134.4,31.155902,,,,,,,,,,,,
1329,,,,,,,,,,,,,1134.2,31.03424,,,,,,,,,,,,
1330,,,,,,,,,,,,,1134.0,31.223947,,,,,,,,,,,,
1331,,,,,,,,,,,,,1133.8,31.534448,,,,,,,,,,,,
1332,,,,,,,,,,,,,1133.6,31.585444,,,,,,,,,,,,
1333,,,,,,,,,,,,,1133.4,31.742714,,,,,,,,,,,,
1334,,,,,,,,,,,,,1133.2,31.401013,,,,,,,,,,,,
1335,,,,,,,,,,,,,1133.0,30.75811,,,,,,,,,,,,
1336,,,,,,,,,,,,,1132.8,30.990591,,,,,,,,,,,,
1337,,,,,,,,,,,,,1132.6,30.897439,,,,,,,,,,,,
1338,,,,,,,,,,,,,1132.4,31.814359,,,,,,,,,,,,
1339,,,,,,,,,,,,,1132.2,31.588921,,,,,,,,,,,,
1340,,,,,,,,,,,,,1132.0,32.050192,,,,,,,,,,,,
1341,,,,,,,,,,,,,1131.8,32.299376,,,,,,,,,,,,
1342,,,,,,,,,,,,,1131.6,32.197059,,,,,,,,,,,,
1343,,,,,,,,,,,,,1131.4,31.077392,,,,,,,,,,,,
1344,,,,,,,,,,,,,1131.2,31.295941,,,,,,,,,,,,
1345,,,,,,,,,,,,,1131.0,31.142689,,,,,,,,,,,,
1346,,,,,,,,,,,,,1130.8,31.366474,,,,,,,,,,,,
1347,,,,,,,,,,,,,1130.6,30.415529,,,,,,,,,,,,
1348,,,,,,,,,,,,,1130.4,30.941083,,,,,,,,,,,,
1349,,,,,,,,,,,,,1130.2,31.33812,,,,,,,,,,,,
1350,,,,,,,,,,,,,1130.0,30.999748,,,,,,,,,,,,
1351,,,,,,,,,,,,,1129.8,31.754934,,,,,,,,,,,,
1352,,,,,,,,,,,,,1129.6,32.050425,,,,,,,,,,,,
1353,,,,,,,,,,,,,1129.4,31.670886,,,,,,,,,,,,
1354,,,,,,,,,,,,,1129.2,31.292354,,,,,,,,,,,,
1355,,,,,,,,,,,,,1129.0,31.54141,,,,,,,,,,,,
1356,,,,,,,,,,,,,1128.8,31.008449,,,,,,,,,,,,
1357,,,,,,,,,,,,,1128.6,31.971817,,,,,,,,,,,,
1358,,,,,,,,,,,,,1128.4,31.967749,,,,,,,,,,,,
1359,,,,,,,,,,,,,1128.2,31.482377,,,,,,,,,,,,
1360,,,,,,,,,,,,,1128.0,32.113739,,,,,,,,,,,,
1361,,,,,,,,,,,,,1127.8,31.792742,,,,,,,,,,,,
1362,,,,,,,,,,,,,1127.6,31.187269,,,,,,,,,,,,
1363,,,,,,,,,,,,,1127.4,30.856927,,,,,,,,,,,,
1364,,,,,,,,,,,,,1127.2,30.894301,,,,,,,,,,,,
1365,,,,,,,,,,,,,1127.0,31.597283,,,,,,,,,,,,
1366,,,,,,,,,,,,,1126.8,31.496522,,,,,,,,,,,,
1367,,,,,,,,,,,,,1126.6,31.20327,,,,,,,,,,,,
1368,,,,,,,,,,,,,1126.4,31.368519,,,,,,,,,,,,
1369,,,,,,,,,,,,,1126.2,32.329402,,,,,,,,,,,,
1370,,,,,,,,,,,,,1126.0,31.397435,,,,,,,,,,,,
1371,,,,,,,,,,,,,1125.8,31.653603,,,,,,,,,,,,
1372,,,,,,,,,,,,,1125.6,32.236051,,,,,,,,,,,,
1373,,,,,,,,,,,,,1125.4,31.226578,,,,,,,,,,,,
1374,,,,,,,,,,,,,1125.2,31.68824,,,,,,,,,,,,
1375,,,,,,,,,,,,,1125.0,32.098152,,,,,,,,,,,,
1376,,,,,,,,,,,,,1124.8,31.881927,,,,,,,,,,,,
1377,,,,,,,,,,,,,1124.6,31.959266,,,,,,,,,,,,
1378,,,,,,,,,,,,,1124.4,31.719744,,,,,,,,,,,,
1379,,,,,,,,,,,,,1124.2,31.859351,,,,,,,,,,,,
1380,,,,,,,,,,,,,1124.0,31.500502,,,,,,,,,,,,
1381,,,,,,,,,,,,,1123.8,31.385394,,,,,,,,,,,,
1382,,,,,,,,,,,,,1123.6,31.7291,,,,,,,,,,,,
1383,,,,,,,,,,,,,1123.4,31.482617,,,,,,,,,,,,
1384,,,,,,,,,,,,,1123.2,32.189363,,,,,,,,,,,,
1385,,,,,,,,,,,,,1123.0,32.383103,,,,,,,,,,,,
1386,,,,,,,,,,,,,1122.8,32.143671,,,,,,,,,,,,
1387,,,,,,,,,,,,,1122.6,32.840497,,,,,,,,,,,,
1388,,,,,,,,,,,,,1122.4,32.817447,,,,,,,,,,,,
1389,,,,,,,,,,,,,1122.2,32.225549,,,,,,,,,,,,
1390,,,,,,,,,,,,,1122.0,31.944403,,,,,,,,,,,,
1391,,,,,,,,,,,,,1121.8,31.758966,,,,,,,,,,,,
1392,,,,,,,,,,,,,1121.6,31.846207,,,,,,,,,,,,
1393,,,,,,,,,,,,,1121.4,32.050632,,,,,,,,,,,,
1394,,,,,,,,,,,,,1121.2,32.293497,,,,,,,,,,,,
1395,,,,,,,,,,,,,1121.0,32.048748,,,,,,,,,,,,
1396,,,,,,,,,,,,,1120.8,32.301251,,,,,,,,,,,,
1397,,,,,,,,,,,,,1120.6,31.685358,,,,,,,,,,,,
1398,,,,,,,,,,,,,1120.4,32.128706,,,,,,,,,,,,
1399,,,,,,,,,,,,,1120.2,31.979625,,,,,,,,,,,,
1400,,,,,,,,,,,,,1120.0,31.90819,,,,,,,,,,,,
1401,,,,,,,,,,,,,1119.8,31.651375,,,,,,,,,,,,
1402,,,,,,,,,,,,,1119.6,31.976537,,,,,,,,,,,,
1403,,,,,,,,,,,,,1119.4,31.920588,,,,,,,,,,,,
1404,,,,,,,,,,,,,1119.2,32.618773,,,,,,,,,,,,
1405,,,,,,,,,,,,,1119.0,32.510047,,,,,,,,,,,,
1406,,,,,,,,,,,,,1118.8,31.999106,,,,,,,,,,,,
1407,,,,,,,,,,,,,1118.6,31.224641,,,,,,,,,,,,
1408,,,,,,,,,,,,,1118.4,31.819151,,,,,,,,,,,,
1409,,,,,,,,,,,,,1118.2,32.938121,,,,,,,,,,,,
1410,,,,,,,,,,,,,1118.0,32.785753,,,,,,,,,,,,
1411,,,,,,,,,,,,,1117.8,31.876462,,,,,,,,,,,,
1412,,,,,,,,,,,,,1117.6,31.839207,,,,,,,,,,,,
1413,,,,,,,,,,,,,1117.4,32.680416,,,,,,,,,,,,
1414,,,,,,,,,,,,,1117.2,32.09855,,,,,,,,,,,,
1415,,,,,,,,,,,,,1117.0,32.07484,,,,,,,,,,,,
1416,,,,,,,,,,,,,1116.8,32.224768,,,,,,,,,,,,
1417,,,,,,,,,,,,,1116.6,31.843807,,,,,,,,,,,,
1418,,,,,,,,,,,,,1116.4,31.817636,,,,,,,,,,,,
1419,,,,,,,,,,,,,1116.2,31.760049,,,,,,,,,,,,
1420,,,,,,,,,,,,,1116.0,32.026394,,,,,,,,,,,,
1421,,,,,,,,,,,,,1115.8,32.251731,,,,,,,,,,,,
1422,,,,,,,,,,,,,1115.6,31.529072,,,,,,,,,,,,
1423,,,,,,,,,,,,,1115.4,32.071806,,,,,,,,,,,,
1424,,,,,,,,,,,,,1115.2,32.132389,,,,,,,,,,,,
1425,,,,,,,,,,,,,1115.0,32.62296,,,,,,,,,,,,
1426,,,,,,,,,,,,,1114.8,32.008938,,,,,,,,,,,,
1427,,,,,,,,,,,,,1114.6,32.011469,,,,,,,,,,,,
1428,,,,,,,,,,,,,1114.4,31.347891,,,,,,,,,,,,
1429,,,,,,,,,,,,,1114.2,31.036525,,,,,,,,,,,,
1430,,,,,,,,,,,,,1114.0,31.736534,,,,,,,,,,,,
1431,,,,,,,,,,,,,1113.8,31.858043,,,,,,,,,,,,
1432,,,,,,,,,,,,,1113.6,31.510918,,,,,,,,,,,,
1433,,,,,,,,,,,,,1113.4,32.301359,,,,,,,,,,,,
1434,,,,,,,,,,,,,1113.2,33.506515,,,,,,,,,,,,
1435,,,,,,,,,,,,,1113.0,33.10614,,,,,,,,,,,,
1436,,,,,,,,,,,,,1112.8,32.82034,,,,,,,,,,,,
1437,,,,,,,,,,,,,1112.6,32.2382,,,,,,,,,,,,
1438,,,,,,,,,,,,,1112.4,32.247338,,,,,,,,,,,,
1439,,,,,,,,,,,,,1112.2,32.210531,,,,,,,,,,,,
1440,,,,,,,,,,,,,1112.0,31.780022,,,,,,,,,,,,
1441,,,,,,,,,,,,,1111.8,31.97918,,,,,,,,,,,,
1442,,,,,,,,,,,,,1111.6,31.373811,,,,,,,,,,,,
1443,,,,,,,,,,,,,1111.4,31.261969,,,,,,,,,,,,
1444,,,,,,,,,,,,,1111.2,31.449509,,,,,,,,,,,,
1445,,,,,,,,,,,,,1111.0,32.028045,,,,,,,,,,,,
1446,,,,,,,,,,,,,1110.8,32.030145,,,,,,,,,,,,
1447,,,,,,,,,,,,,1110.6,32.732965,,,,,,,,,,,,
1448,,,,,,,,,,,,,1110.4,31.547299,,,,,,,,,,,,
1449,,,,,,,,,,,,,1110.2,31.681571,,,,,,,,,,,,
1450,,,,,,,,,,,,,1110.0,31.970284,,,,,,,,,,,,
1451,,,,,,,,,,,,,1109.8,30.891174,,,,,,,,,,,,
1452,,,,,,,,,,,,,1109.6,31.211776,,,,,,,,,,,,
1453,,,,,,,,,,,,,1109.4,30.881709,,,,,,,,,,,,
1454,,,,,,,,,,,,,1109.2,30.7613,,,,,,,,,,,,
1455,,,,,,,,,,,,,1109.0,31.354323,,,,,,,,,,,,
1456,,,,,,,,,,,,,1108.8,31.712483,,,,,,,,,,,,
1457,,,,,,,,,,,,,1108.6,31.795661,,,,,,,,,,,,
1458,,,,,,,,,,,,,1108.4,31.68155,,,,,,,,,,,,
1459,,,,,,,,,,,,,1108.2,31.377194,,,,,,,,,,,,
1460,,,,,,,,,,,,,1108.0,30.672952,,,,,,,,,,,,
1461,,,,,,,,,,,,,1107.8,31.523281,,,,,,,,,,,,
1462,,,,,,,,,,,,,1107.6,31.294787,,,,,,,,,,,,
1463,,,,,,,,,,,,,1107.4,31.868246,,,,,,,,,,,,
1464,,,,,,,,,,,,,1107.2,31.826635,,,,,,,,,,,,
1465,,,,,,,,,,,,,1107.0,31.349312,,,,,,,,,,,,
1466,,,,,,,,,,,,,1106.8,31.519879,,,,,,,,,,,,
1467,,,,,,,,,,,,,1106.6,31.425921,,,,,,,,,,,,
1468,,,,,,,,,,,,,1106.4,31.347582,,,,,,,,,,,,
1469,,,,,,,,,,,,,1106.2,31.45768,,,,,,,,,,,,
1470,,,,,,,,,,,,,1106.0,31.174024,,,,,,,,,,,,
1471,,,,,,,,,,,,,1105.8,31.399716,,,,,,,,,,,,
1472,,,,,,,,,,,,,1105.6,31.371904,,,,,,,,,,,,
1473,,,,,,,,,,,,,1105.4,31.817749,,,,,,,,,,,,
1474,,,,,,,,,,,,,1105.2,31.687371,,,,,,,,,,,,
1475,,,,,,,,,,,,,1105.0,31.316584,,,,,,,,,,,,
1476,,,,,,,,,,,,,1104.8,31.149185,,,,,,,,,,,,
1477,,,,,,,,,,,,,1104.6,30.768935,,,,,,,,,,,,
1478,,,,,,,,,,,,,1104.4,32.080524,,,,,,,,,,,,
1479,,,,,,,,,,,,,1104.2,32.096643,,,,,,,,,,,,
1480,,,,,,,,,,,,,1104.0,32.557158,,,,,,,,,,,,
1481,,,,,,,,,,,,,1103.8,31.774655,,,,,,,,,,,,
1482,,,,,,,,,,,,,1103.6,31.572778,,,,,,,,,,,,
1483,,,,,,,,,,,,,1103.4,32.255329,,,,,,,,,,,,
1484,,,,,,,,,,,,,1103.2,31.804288,,,,,,,,,,,,
1485,,,,,,,,,,,,,1103.0,31.116119,,,,,,,,,,,,
1486,,,,,,,,,,,,,1102.8,30.886743,,,,,,,,,,,,
1487,,,,,,,,,,,,,1102.6,31.194754,,,,,,,,,,,,
1488,,,,,,,,,,,,,1102.4,31.577794,,,,,,,,,,,,
1489,,,,,,,,,,,,,1102.2,32.035108,,,,,,,,,,,,
1490,,,,,,,,,,,,,1102.0,31.540118,,,,,,,,,,,,
1491,,,,,,,,,,,,,1101.8,32.751119,,,,,,,,,,,,
1492,,,,,,,,,,,,,1101.6,31.957969,,,,,,,,,,,,
1493,,,,,,,,,,,,,1101.4,32.019945,,,,,,,,,,,,
1494,,,,,,,,,,,,,1101.2,32.358904,,,,,,,,,,,,
1495,,,,,,,,,,,,,1101.0,32.781166,,,,,,,,,,,,
1496,,,,,,,,,,,,,1100.8,33.187598,,,,,,,,,,,,
1497,,,,,,,,,,,,,1100.6,33.322901,,,,,,,,,,,,
1498,,,,,,,,,,,,,1100.4,33.220984,,,,,,,,,,,,
1499,,,,,,,,,,,,,1100.2,33.421831,,,,,,,,,,,,
1500,,,,,,,,,,,,,1100.0,34.405342,,,,,,,,,,,,
1501,,,,,,,,,,,,,1099.8,34.258704,,,,,,,,,,,,
1502,,,,,,,,,,,,,1099.6,33.937853,,,,,,,,,,,,
1503,,,,,,,,,,,,,1099.4,34.578441,,,,,,,,,,,,
1504,,,,,,,,,,,,,1099.2,35.260034,,,,,,,,,,,,
1505,,,,,,,,,,,,,1099.0,35.369153,,,,,,,,,,,,
1506,,,,,,,,,,,,,1098.8,35.972606,,,,,,,,,,,,
1507,,,,,,,,,,,,,1098.6,36.879297,,,,,,,,,,,,
1508,,,,,,,,,,,,,1098.4,35.792792,,,,,,,,,,,,
1509,,,,,,,,,,,,,1098.2,36.496935,,,,,,,,,,,,
1510,,,,,,,,,,,,,1098.0,36.110616,,,,,,,,,,,,
1511,,,,,,,,,,,,,1097.8,36.750708,,,,,,,,,,,,
1512,,,,,,,,,,,,,1097.6,37.124613,,,,,,,,,,,,
1513,,,,,,,,,,,,,1097.4,37.101401,,,,,,,,,,,,
1514,,,,,,,,,,,,,1097.2,37.277826,,,,,,,,,,,,
1515,,,,,,,,,,,,,1097.0,37.923911,,,,,,,,,,,,
1516,,,,,,,,,,,,,1096.8,37.642807,,,,,,,,,,,,
1517,,,,,,,,,,,,,1096.6,37.510837,,,,,,,,,,,,
1518,,,,,,,,,,,,,1096.4,37.533571,,,,,,,,,,,,
1519,,,,,,,,,,,,,1096.2,36.7409,,,,,,,,,,,,
1520,,,,,,,,,,,,,1096.0,36.439126,,,,,,,,,,,,
1521,,,,,,,,,,,,,1095.8,36.829025,,,,,,,,,,,,
1522,,,,,,,,,,,,,1095.6,35.568685,,,,,,,,,,,,
1523,,,,,,,,,,,,,1095.4,35.176497,,,,,,,,,,,,
1524,,,,,,,,,,,,,1095.2,35.517997,,,,,,,,,,,,
1525,,,,,,,,,,,,,1095.0,34.908084,,,,,,,,,,,,
1526,,,,,,,,,,,,,1094.8,34.37158,,,,,,,,,,,,
1527,,,,,,,,,,,,,1094.6,33.368398,,,,,,,,,,,,
1528,,,,,,,,,,,,,1094.4,33.373705,,,,,,,,,,,,
1529,,,,,,,,,,,,,1094.2,33.033168,,,,,,,,,,,,
1530,,,,,,,,,,,,,1094.0,32.760304,,,,,,,,,,,,
1531,,,,,,,,,,,,,1093.8,32.134331,,,,,,,,,,,,
1532,,,,,,,,,,,,,1093.6,31.184178,,,,,,,,,,,,
1533,,,,,,,,,,,,,1093.4,31.361793,,,,,,,,,,,,
1534,,,,,,,,,,,,,1093.2,30.672696,,,,,,,,,,,,
1535,,,,,,,,,,,,,1093.0,31.181391,,,,,,,,,,,,
1536,,,,,,,,,,,,,1092.8,31.329977,,,,,,,,,,,,
1537,,,,,,,,,,,,,1092.6,31.468606,,,,,,,,,,,,
1538,,,,,,,,,,,,,1092.4,30.319293,,,,,,,,,,,,
1539,,,,,,,,,,,,,1092.2,30.645511,,,,,,,,,,,,
1540,,,,,,,,,,,,,1092.0,31.133777,,,,,,,,,,,,
1541,,,,,,,,,,,,,1091.8,30.686347,,,,,,,,,,,,
1542,,,,,,,,,,,,,1091.6,30.803605,,,,,,,,,,,,
1543,,,,,,,,,,,,,1091.4,30.425757,,,,,,,,,,,,
1544,,,,,,,,,,,,,1091.2,30.329397,,,,,,,,,,,,
1545,,,,,,,,,,,,,1091.0,29.031399,,,,,,,,,,,,
1546,,,,,,,,,,,,,1090.8,29.581386,,,,,,,,,,,,
1547,,,,,,,,,,,,,1090.6,29.45369,,,,,,,,,,,,
1548,,,,,,,,,,,,,1090.4,29.802282,,,,,,,,,,,,
1549,,,,,,,,,,,,,1090.2,29.271932,,,,,,,,,,,,
1550,,,,,,,,,,,,,1090.0,29.58584,,,,,,,,,,,,
1551,,,,,,,,,,,,,1089.8,29.373033,,,,,,,,,,,,
1552,,,,,,,,,,,,,1089.6,28.841494,,,,,,,,,,,,
1553,,,,,,,,,,,,,1089.4,29.72979,,,,,,,,,,,,
1554,,,,,,,,,,,,,1089.2,29.409576,,,,,,,,,,,,
1555,,,,,,,,,,,,,1089.0,28.841657,,,,,,,,,,,,
1556,,,,,,,,,,,,,1088.8,28.842553,,,,,,,,,,,,
1557,,,,,,,,,,,,,1088.6,28.166023,,,,,,,,,,,,
1558,,,,,,,,,,,,,1088.4,27.97736,,,,,,,,,,,,
1559,,,,,,,,,,,,,1088.2,28.920534,,,,,,,,,,,,
1560,,,,,,,,,,,,,1088.0,28.829494,,,,,,,,,,,,
1561,,,,,,,,,,,,,1087.8,28.452304,,,,,,,,,,,,
1562,,,,,,,,,,,,,1087.6,28.973328,,,,,,,,,,,,
1563,,,,,,,,,,,,,1087.4,28.67678,,,,,,,,,,,,
1564,,,,,,,,,,,,,1087.2,28.246368,,,,,,,,,,,,
1565,,,,,,,,,,,,,1087.0,28.229757,,,,,,,,,,,,
1566,,,,,,,,,,,,,1086.8,28.24346,,,,,,,,,,,,
1567,,,,,,,,,,,,,1086.6,28.086037,,,,,,,,,,,,
1568,,,,,,,,,,,,,1086.4,28.923277,,,,,,,,,,,,
1569,,,,,,,,,,,,,1086.2,28.468638,,,,,,,,,,,,
1570,,,,,,,,,,,,,1086.0,28.863283,,,,,,,,,,,,
1571,,,,,,,,,,,,,1085.8,27.863891,,,,,,,,,,,,
1572,,,,,,,,,,,,,1085.6,28.057453,,,,,,,,,,,,
1573,,,,,,,,,,,,,1085.4,28.376256,,,,,,,,,,,,
1574,,,,,,,,,,,,,1085.2,28.34203,,,,,,,,,,,,
1575,,,,,,,,,,,,,1085.0,28.437867,,,,,,,,,,,,
1576,,,,,,,,,,,,,1084.8,28.610396,,,,,,,,,,,,
1577,,,,,,,,,,,,,1084.6,28.282125,,,,,,,,,,,,
1578,,,,,,,,,,,,,1084.4,27.873059,,,,,,,,,,,,
1579,,,,,,,,,,,,,1084.2,28.324006,,,,,,,,,,,,
1580,,,,,,,,,,,,,1084.0,28.770271,,,,,,,,,,,,
1581,,,,,,,,,,,,,1083.8,27.764027,,,,,,,,,,,,
1582,,,,,,,,,,,,,1083.6,28.594595,,,,,,,,,,,,
1583,,,,,,,,,,,,,1083.4,27.937904,,,,,,,,,,,,
1584,,,,,,,,,,,,,1083.2,27.387143,,,,,,,,,,,,
1585,,,,,,,,,,,,,1083.0,27.75668,,,,,,,,,,,,
1586,,,,,,,,,,,,,1082.8,27.766143,,,,,,,,,,,,
1587,,,,,,,,,,,,,1082.6,28.660001,,,,,,,,,,,,
1588,,,,,,,,,,,,,1082.4,27.933101,,,,,,,,,,,,
1589,,,,,,,,,,,,,1082.2,27.460223,,,,,,,,,,,,
1590,,,,,,,,,,,,,1082.0,27.780334,,,,,,,,,,,,
1591,,,,,,,,,,,,,1081.8,28.006433,,,,,,,,,,,,
1592,,,,,,,,,,,,,1081.6,28.733285,,,,,,,,,,,,
1593,,,,,,,,,,,,,1081.4,27.909469,,,,,,,,,,,,
1594,,,,,,,,,,,,,1081.2,27.341861,,,,,,,,,,,,
1595,,,,,,,,,,,,,1081.0,27.628201,,,,,,,,,,,,
1596,,,,,,,,,,,,,1080.8,27.534391,,,,,,,,,,,,
1597,,,,,,,,,,,,,1080.6,28.099993,,,,,,,,,,,,
1598,,,,,,,,,,,,,1080.4,28.455725,,,,,,,,,,,,
1599,,,,,,,,,,,,,1080.2,28.358872,,,,,,,,,,,,
1600,,,,,,,,,,,,,1080.0,28.498162,,,,,,,,,,,,
1601,,,,,,,,,,,,,1079.8,28.267659,,,,,,,,,,,,
1602,,,,,,,,,,,,,1079.6,28.947958,,,,,,,,,,,,
1603,,,,,,,,,,,,,1079.4,28.146194,,,,,,,,,,,,
1604,,,,,,,,,,,,,1079.2,27.980399,,,,,,,,,,,,
1605,,,,,,,,,,,,,1079.0,27.697137,,,,,,,,,,,,
1606,,,,,,,,,,,,,1078.8,28.297566,,,,,,,,,,,,
1607,,,,,,,,,,,,,1078.6,28.008662,,,,,,,,,,,,
1608,,,,,,,,,,,,,1078.4,28.018795,,,,,,,,,,,,
1609,,,,,,,,,,,,,1078.2,28.267677,,,,,,,,,,,,
1610,,,,,,,,,,,,,1078.0,27.744509,,,,,,,,,,,,
1611,,,,,,,,,,,,,1077.8,28.0347,,,,,,,,,,,,
1612,,,,,,,,,,,,,1077.6,28.081698,,,,,,,,,,,,
1613,,,,,,,,,,,,,1077.4,27.783881,,,,,,,,,,,,
1614,,,,,,,,,,,,,1077.2,28.181416,,,,,,,,,,,,
1615,,,,,,,,,,,,,1077.0,27.962001,,,,,,,,,,,,
1616,,,,,,,,,,,,,1076.8,28.02927,,,,,,,,,,,,
1617,,,,,,,,,,,,,1076.6,28.07721,,,,,,,,,,,,
1618,,,,,,,,,,,,,1076.4,28.229555,,,,,,,,,,,,
1619,,,,,,,,,,,,,1076.2,27.981429,,,,,,,,,,,,
1620,,,,,,,,,,,,,1076.0,27.76616,,,,,,,,,,,,
1621,,,,,,,,,,,,,1075.8,28.60482,,,,,,,,,,,,
1622,,,,,,,,,,,,,1075.6,28.901886,,,,,,,,,,,,
1623,,,,,,,,,,,,,1075.4,28.818381,,,,,,,,,,,,
1624,,,,,,,,,,,,,1075.2,28.514235,,,,,,,,,,,,
1625,,,,,,,,,,,,,1075.0,28.004439,,,,,,,,,,,,
1626,,,,,,,,,,,,,1074.8,28.409408,,,,,,,,,,,,
1627,,,,,,,,,,,,,1074.6,28.716546,,,,,,,,,,,,
1628,,,,,,,,,,,,,1074.4,28.692246,,,,,,,,,,,,
1629,,,,,,,,,,,,,1074.2,28.908789,,,,,,,,,,,,
1630,,,,,,,,,,,,,1074.0,28.411374,,,,,,,,,,,,
1631,,,,,,,,,,,,,1073.8,28.914368,,,,,,,,,,,,
1632,,,,,,,,,,,,,1073.6,28.133008,,,,,,,,,,,,
1633,,,,,,,,,,,,,1073.4,27.32159,,,,,,,,,,,,
1634,,,,,,,,,,,,,1073.2,27.704897,,,,,,,,,,,,
1635,,,,,,,,,,,,,1073.0,28.692695,,,,,,,,,,,,
1636,,,,,,,,,,,,,1072.8,28.825516,,,,,,,,,,,,
1637,,,,,,,,,,,,,1072.6,28.422628,,,,,,,,,,,,
1638,,,,,,,,,,,,,1072.4,28.207297,,,,,,,,,,,,
1639,,,,,,,,,,,,,1072.2,27.409268,,,,,,,,,,,,
1640,,,,,,,,,,,,,1072.0,27.996421,,,,,,,,,,,,
1641,,,,,,,,,,,,,1071.8,28.440916,,,,,,,,,,,,
1642,,,,,,,,,,,,,1071.6,28.700921,,,,,,,,,,,,
1643,,,,,,,,,,,,,1071.4,29.226803,,,,,,,,,,,,
1644,,,,,,,,,,,,,1071.2,28.22639,,,,,,,,,,,,
1645,,,,,,,,,,,,,1071.0,28.571362,,,,,,,,,,,,
