path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min.xy
delimiters=([44, 1015, 1126, 1257, 1417, 1562, 1748, 1863, 1983, 2067, 3502, 3622], [941, 81, 101, 130, 115, 156, 85, 90, 54, 1405, 90, 7018], ['survey', 'C_1s(2)', 'Si_2p', 'Na_1s', 'F_1s', 'Ba_3d5/2', 'O_1s', 'N_1s', 'Si_2s', 'survey_(2)', 'C_1s', 'survey_hd'])
name=Cu_G2SL_subl_90min
label=20220630_Cu_G2SL_subl_90min
date=20.22.0630
other_meta=Cu_G2SL_subl_90min
area=
fit={}
color=
dfx=
range,survey,survey,C_1s(2),C_1s(2),Si_2p,Si_2p,Na_1s,Na_1s,F_1s,F_1s,Ba_3d5/2,Ba_3d5/2,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,survey_(2),survey_(2),C_1s,C_1s,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
12,924.71,17.741106,297.31,3.6023108,104.31,0.26078481468362114,1084.3184,75.620617,694.31947,32.898363,798.6,35.963775,534.54857,0.06756889566068702,404.55056,0.29081890654118414,157.73585,0.31537913087665537,1388.0061,57.547012,289.56157,0.36175376815068727,1397.6,87.163563,289.56157,3.4019626318493126,534.54857,2.807082404339313,404.55056,2.807105793458816,104.31,4.936704385316379,157.73585,4.559886569123345
13,923.71,16.479358,297.11,3.2416313,104.11,0.42059758983293083,1084.1191,76.726865,694.12026,31.941133,798.4,36.118359,534.34964,0.34975676009446666,404.35955,0.2807620036147216,157.54717,-0.03309734486119531,1387.0066,54.420696,289.36258,0.3288813329770224,1397.4,84.557936,289.36258,3.4011868670229775,534.34964,2.8046053399055335,404.35955,2.8093004963852786,104.11,4.933737010167069,157.54717,4.5659598448611955
14,922.71,15.566556,296.91,3.1576715,103.91,0.4798011660179329,1083.9198,77.175147,693.92105,32.096119,798.2,36.451398,534.15071,0.41565632242427597,404.16854,0.2682366096096329,157.35849,0.08037300398797065,1386.0071,50.370885,289.1636,0.23045738588753073,1397.2,87.41092,289.1636,3.400558614112469,534.15071,2.800062177575724,404.16854,2.811408490390367,103.91,4.929815833982067,157.35849,4.56697699601203
15,921.71,16.102597,296.71,3.3301285,103.71,0.5397027372834442,1083.7205,74.811911,693.72184,33.250726,798.0,36.104079,533.95179,0.615466415883752,403.97753,0.34489864935177517,157.16981,0.09261692462942239,1385.0076,53.756883,288.96461,0.2966677861396514,1397.0,87.800404,288.96461,3.3999665138603485,533.95179,2.793942184116248,403.97753,2.813762750648225,103.71,4.925375962716556,157.16981,4.570698875370578
16,920.71,17.322438,296.51,3.1991817,103.51,0.38044994192412585,1083.5212,73.979824,693.52263,33.36149,797.8,35.826885,533.75286,0.9596956015798672,403.78652,0.18117627454694096,156.98113,0.098458633664678,1384.0081,49.945903,288.76562,0.44158583925041794,1396.8,79.149125,288.76562,3.399137260749582,533.75286,2.784592698420133,403.78652,2.815782725453059,103.51,4.921368758075874,156.98113,4.574809866335322
17,919.71,17.010934,296.31,3.3433093,103.31,0.20776086430754415,1083.3219,75.344466,693.32342,33.234006,797.6,36.233383,533.55393,1.1917768193807792,403.59551,0.33711518537272944,156.79245,0.3308886544772722,1383.0086,46.810748,288.56663,0.4679992427374704,1396.6,72.127968,288.56663,3.3981155572625297,533.55393,2.7718224806192207,403.59551,2.8177728146272707,103.31,4.918807135692456,156.79245,4.5840472455227275
18,918.71,17.593737,296.11,3.1760625,103.11,0.15796166670544132,1083.1226,75.560003,693.12421,32.656092,797.4,36.251572,533.355,1.2450662752911792,403.40449,0.6016737209554757,156.60377,0.1875065183187905,1382.0091,48.14573,288.36764,0.47884549872604554,1396.4,81.741985,288.36764,3.3970520012739547,533.355,2.7573584247088205,403.40449,2.821377679044524,103.11,4.917214433294559,156.60377,4.59520048168121
19,917.71,16.934438,295.91,3.7112755,102.91,0.5675010118057235,1082.9233,75.801849,692.925,32.530956,797.2,36.337541,533.15607,1.1046985717622717,403.21348,0.36250216628374243,156.41509,0.37747204321354655,1381.0096,44.593412,288.16865,0.6069298104104721,1396.2,80.162467,288.16865,3.395832389589528,533.15607,2.7434112282377283,403.21348,2.8250798337162575,102.91,4.914055088194276,156.41509,4.607355956786454
20,916.71,16.526485,295.71,3.1587455,102.71,0.6016817262944185,1082.724,77.269129,692.72579,33.066972,797.0,36.529669,532.95714,1.2088145937931065,403.02247,0.22651889478407172,156.22642,0.2182530367504194,1380.0101,45.336123,287.96966,0.905408164305674,1396.0,78.97716,287.96966,3.394133635694326,532.95714,2.7296792062068933,403.02247,2.8273415052159283,102.71,4.908963373705581,156.22642,4.6201722632495805
21,915.71,16.616389,295.51,3.225984,102.51,0.34979344070167695,1082.5247,76.192129,692.52658,33.682291,796.8,36.207027,532.75821,1.3609747619581083,402.83146,0.23154924315731584,156.03774,0.1913732410853317,1379.0106,44.697047,287.77067,1.1739341133104975,1395.8,80.485336,287.77067,3.3917979866895025,532.75821,2.7144260380418914,402.83146,2.8291003568426842,102.51,4.904819759298323,156.03774,4.628985358914668
